Apple|152.0|80.0|0.0|0.0|0.0|21.7|4.9|0.0
Apple - Medium|138.0|70.0|0.0|0.0|0.0|19.0|3.0|0.0
Flour all-purpose|30.0|110.0|0.5|0.0|0.0|22.0|2.0|4.0
Black Beans|130.0|120.0|0.5|0.0|480.0|23.0|6.0|7.0
Sugar Powdered|30.0|120.0|0.0|0.0|0.0|30.0|0.0|0.0
Black Beans|130.0|240.0|1.0|0.0|960.0|46.0|12.0|14.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Cornmeal|30.0|1686.7|15.3|0.0|153.3|352.7|30.7|30.7
Cornmeal|30.0|25862.7|234.6|0.0|2350.6|5408.1|470.7|470.7
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Cornmeal|30.0|220.0|2.0|0.0|20.0|46.0|4.0|4.0
Silk, Almond Unsweetened|236.5|30.0|2.5|0.0|160.0|1.0|1.0|1.0
Cornmeal|30.0|220.0|2.0|0.0|20.0|46.0|4.0|4.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
milk|200.0|100.0|5.0|55.0|55.0|555.0|5.0|5.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
milk|30.0|150.0|6.0|2.0|25.0|32.0|0.0|5.0
cake|28.0|150.0|6.0|45.0|125.0|32.0|2.0|6.0
donuts|28.0|500.0|56.0|5.0|200.0|34.0|0.0|0.0
cake|20.0|200.0|2.0|2.0|2.0|2.0|2.0|2.0
donuts|28.0|100.0|1.0|1.0|1.0|1.0|1.0|1.0
milk|30.0|300.0|30.0|30.0|30.0|30.0|30.0|30.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Flour|28.0|150.0|0.0|0.0|5.0|24.0|3.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Cornmeal|30.0|110.0|1.0|0.0|10.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
cake|28.0|170.0|4.0|0.0|123.0|23.0|2.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Tuna|56.0|45.0|0.5|20.0|180.0|0.0|0.0|10.0
Tuna|56.0|45.0|0.5|20.0|180.0|0.0|0.0|10.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
Flour|28.0|150.0|0.0|0.0|5.0|24.0|3.0|2.0
Milk|300.0|150.0|5.0|12.0|120.0|22.0|0.0|2.0
bubbles|8.0|88.0|88.0|8.0|8.0|88.0|88.0|8.0

